value_sequence,finalLabel,original_index,original_len,generated_window_id,new_len
0.50131200 0.50085400 0.50146400 0.50054900 0.50054900 0.50039600 0.50039600 0.50115900 0.50039600 0.50100700 0.49993800 0.50085400 0.50024400 0.50100700 0.50085400 0.50115900 0.50100700 0.50054900 0.50054900 0.50085400,0,0,20,0,20
0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500 0.50758099 0.51612354 0.51284203 0.50056529 0.51850534,1,1,15,0,20
0.51583651 0.51634548 0.50291002 0.50949087 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500 0.50619535,1,1,15,1,20
0.51344175 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500 0.51539417 0.50767331 0.50327349 0.50993596,1,1,15,2,20
0.50159708 0.51719428 0.51319261 0.51577419 0.50753340 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500,1,1,15,3,20
0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500 0.51682619 0.51449094 0.50260998 0.50814767 0.49954004,1,1,15,4,20
0.50344454 0.51424189 0.51550208 0.52005062 0.50694733 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500,1,1,15,5,20
0.50988232 0.50416296 0.50294694 0.51000789 0.50492745 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500,1,1,15,6,20
0.51397163 0.50922063 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500 0.51559600 0.51290100 0.50500610,1,1,15,7,20
0.51672734 0.50820629 0.50618163 0.51423059 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500 0.50149288,1,1,15,8,20
0.50437608 0.50044426 0.51636304 0.51387028 0.51050400 0.51203000 0.51889600 0.54010600 0.56970800 0.57916800 0.56665600 0.52225300 0.46854200 0.44550100 0.44412800 0.46945800 0.49326100 0.50470600 0.50882500 0.51300073,1,1,15,9,20
